Region_ID,SubRegion_ID,longitude,latitude,var_longitude,var_latitude
1,0,145601.6014986139,219068.68272908035,19195.080982447544,14513.37014070223
1,1,144999.23225882923,218447.35704357328,22499.41086537086,21375.632908293333
2,0,145034.03380068432,219473.4239585699,171903.15107944774,144104.86206733118
2,1,144731.63002628263,219753.70943814283,211663.59055071874,157405.3919959752
3,0,144545.60963166112,220041.7791958505,105987.9575903313,80255.20932925795
3,1,144976.7672780765,219649.40149060817,186614.3038462279,121465.5880983683
4,0,144292.38431990065,219919.12894421493,19584.662760644445,18769.643864702393
4,1,143647.3396258572,219939.5592553255,57395.754994438685,71419.11492325075
5,0,144554.79670396165,218494.92687528682,16574.03383725209,13413.324830180321
5,1,144227.02698424188,218769.0806835248,12871.345195487076,8256.231702002244
6,0,143904.68096563363,219025.59194403308,11053.868487298178,7935.560643673309
6,1,143588.1876068076,219300.83913056957,17560.367569974107,12780.486189117355
7,0,142999.60718106007,219732.90764681928,34122.05710119063,19309.73127963841
7,1,142434.00617063546,220174.52156992006,30036.793766663763,17837.66836604429
8,0,143748.13258426965,220356.06516853932,28269.845343759738,29949.22496754465
8,1,143120.99999999994,221223.9999999999,1.0000000000000033e-06,1.0000000000000076e-06
9,0,143208.47465655254,221043.8491797006,10356.678399275,6530.123582293494
9,1,143608.36992650584,220695.41398635725,21389.400304991235,13330.830271813975
10,0,142859.73420110653,221358.15491606132,37135.38957925003,27120.30405721003
10,1,143485.45758981223,220924.37112167335,59758.651519902895,44930.935570310394
11,0,142792.32496841933,220941.8547495146,29982.218361513176,30462.541891716734
11,1,142376.1088324071,220475.31884456243,13224.167197292576,18967.770955914642
12,0,141562.52520977243,219939.71707556356,17113.581060973524,10570.316037254388
12,1,142031.8167682532,220078.76998105654,31083.409054040232,31123.47476652426
13,0,141414.19204762432,219439.16605596335,4864.966022778826,7001.0100328787385
13,1,141611.40841304557,219646.903337616,7085.560036836215,6634.922638342712
15,0,144577.15248168356,217992.07860673175,21994.924834399906,24190.117074595466
15,1,143610.36893576148,218417.35785204213,140169.302456043,88396.92134578133
